path,targets,label
simpsons_dataset\charles_montgomery_burns\pic_0719.jpg,3,charles_montgomery_burns
simpsons_dataset\moe_szyslak\pic_0182.jpg,11,moe_szyslak
simpsons_dataset\marge_simpson\pic_1067.jpg,9,marge_simpson
simpsons_dataset\homer_simpson\pic_1594.jpg,6,homer_simpson
simpsons_dataset\milhouse_van_houten\pic_0138.jpg,10,milhouse_van_houten
simpsons_dataset\marge_simpson\pic_0883.jpg,9,marge_simpson
simpsons_dataset\homer_simpson\pic_1610.jpg,6,homer_simpson
simpsons_dataset\krusty_the_clown\pic_0087.jpg,7,krusty_the_clown
simpsons_dataset\ned_flanders\pic_0173.jpg,12,ned_flanders
simpsons_dataset\bart_simpson\pic_1139.jpg,2,bart_simpson
simpsons_dataset\homer_simpson\pic_0469.jpg,6,homer_simpson
simpsons_dataset\homer_simpson\pic_2168.jpg,6,homer_simpson
simpsons_dataset\bart_simpson\pic_0710.jpg,2,bart_simpson
simpsons_dataset\milhouse_van_houten\pic_0543.jpg,10,milhouse_van_houten
simpsons_dataset\ned_flanders\pic_0034.jpg,12,ned_flanders
simpsons_dataset\ned_flanders\pic_0722.jpg,12,ned_flanders
simpsons_dataset\moe_szyslak\pic_1179.jpg,11,moe_szyslak
simpsons_dataset\comic_book_guy\pic_0194.jpg,5,comic_book_guy
simpsons_dataset\moe_szyslak\pic_0020.jpg,11,moe_szyslak
simpsons_dataset\chief_wiggum\pic_0032.jpg,4,chief_wiggum
simpsons_dataset\milhouse_van_houten\pic_0495.jpg,10,milhouse_van_houten
simpsons_dataset\chief_wiggum\pic_0919.jpg,4,chief_wiggum
simpsons_dataset\sideshow_bob\pic_0190.jpg,14,sideshow_bob
simpsons_dataset\homer_simpson\pic_1503.jpg,6,homer_simpson
simpsons_dataset\abraham_grampa_simpson\pic_0021.jpg,0,abraham_grampa_simpson
simpsons_dataset\homer_simpson\pic_2138.jpg,6,homer_simpson
simpsons_dataset\ned_flanders\pic_0465.jpg,12,ned_flanders
simpsons_dataset\apu_nahasapeemapetilon\pic_0454.jpg,1,apu_nahasapeemapetilon
simpsons_dataset\lisa_simpson\pic_1276.jpg,8,lisa_simpson
simpsons_dataset\charles_montgomery_burns\pic_0577.jpg,3,charles_montgomery_burns
simpsons_dataset\lisa_simpson\pic_1214.jpg,8,lisa_simpson
simpsons_dataset\chief_wiggum\pic_0438.jpg,4,chief_wiggum
simpsons_dataset\chief_wiggum\pic_0709.jpg,4,chief_wiggum
simpsons_dataset\lisa_simpson\pic_0636.jpg,8,lisa_simpson
simpsons_dataset\ned_flanders\pic_0369.jpg,12,ned_flanders
simpsons_dataset\moe_szyslak\pic_0971.jpg,11,moe_szyslak
simpsons_dataset\ned_flanders\pic_0719.jpg,12,ned_flanders
simpsons_dataset\chief_wiggum\pic_0058.jpg,4,chief_wiggum
simpsons_dataset\homer_simpson\pic_1735.jpg,6,homer_simpson
simpsons_dataset\homer_simpson\pic_0387.jpg,6,homer_simpson
simpsons_dataset\homer_simpson\pic_1971.jpg,6,homer_simpson
simpsons_dataset\marge_simpson\pic_1222.jpg,9,marge_simpson
simpsons_dataset\principal_skinner\pic_0407.jpg,13,principal_skinner
simpsons_dataset\apu_nahasapeemapetilon\pic_0597.jpg,1,apu_nahasapeemapetilon
simpsons_dataset\lisa_simpson\pic_0444.jpg,8,lisa_simpson
simpsons_dataset\sideshow_bob\pic_0704.jpg,14,sideshow_bob
simpsons_dataset\ned_flanders\pic_0817.jpg,12,ned_flanders
simpsons_dataset\charles_montgomery_burns\pic_0710.jpg,3,charles_montgomery_burns
simpsons_dataset\ned_flanders\pic_0243.jpg,12,ned_flanders
simpsons_dataset\homer_simpson\pic_2144.jpg,6,homer_simpson
simpsons_dataset\principal_skinner\pic_0945.jpg,13,principal_skinner
simpsons_dataset\krusty_the_clown\pic_0443.jpg,7,krusty_the_clown
simpsons_dataset\comic_book_guy\pic_0178.jpg,5,comic_book_guy
simpsons_dataset\homer_simpson\pic_1514.jpg,6,homer_simpson
simpsons_dataset\charles_montgomery_burns\pic_1017.jpg,3,charles_montgomery_burns
simpsons_dataset\abraham_grampa_simpson\pic_0646.jpg,0,abraham_grampa_simpson
simpsons_dataset\milhouse_van_houten\pic_0384.jpg,10,milhouse_van_houten
simpsons_dataset\marge_simpson\pic_0126.jpg,9,marge_simpson
simpsons_dataset\marge_simpson\pic_0594.jpg,9,marge_simpson
simpsons_dataset\krusty_the_clown\pic_0627.jpg,7,krusty_the_clown
simpsons_dataset\bart_simpson\pic_0243.jpg,2,bart_simpson
simpsons_dataset\homer_simpson\pic_0316.jpg,6,homer_simpson
simpsons_dataset\bart_simpson\pic_0962.jpg,2,bart_simpson
simpsons_dataset\abraham_grampa_simpson\pic_0043.jpg,0,abraham_grampa_simpson
simpsons_dataset\moe_szyslak\pic_0033.jpg,11,moe_szyslak
simpsons_dataset\bart_simpson\pic_1319.jpg,2,bart_simpson
simpsons_dataset\homer_simpson\pic_0735.jpg,6,homer_simpson
simpsons_dataset\marge_simpson\pic_1149.jpg,9,marge_simpson
simpsons_dataset\ned_flanders\pic_1189.jpg,12,ned_flanders
simpsons_dataset\krusty_the_clown\pic_0644.jpg,7,krusty_the_clown
simpsons_dataset\chief_wiggum\pic_0755.jpg,4,chief_wiggum
simpsons_dataset\chief_wiggum\pic_0333.jpg,4,chief_wiggum
simpsons_dataset\ned_flanders\pic_1064.jpg,12,ned_flanders
simpsons_dataset\milhouse_van_houten\pic_0000.jpg,10,milhouse_van_houten
simpsons_dataset\homer_simpson\pic_0530.jpg,6,homer_simpson
simpsons_dataset\homer_simpson\pic_1955.jpg,6,homer_simpson
simpsons_dataset\bart_simpson\pic_1210.jpg,2,bart_simpson
simpsons_dataset\homer_simpson\pic_0172.jpg,6,homer_simpson
simpsons_dataset\apu_nahasapeemapetilon\pic_0036.jpg,1,apu_nahasapeemapetilon
simpsons_dataset\moe_szyslak\pic_1096.jpg,11,moe_szyslak
simpsons_dataset\abraham_grampa_simpson\pic_0053.jpg,0,abraham_grampa_simpson
simpsons_dataset\moe_szyslak\pic_0209.jpg,11,moe_szyslak
simpsons_dataset\ned_flanders\pic_1120.jpg,12,ned_flanders
simpsons_dataset\sideshow_bob\pic_0657.jpg,14,sideshow_bob
simpsons_dataset\homer_simpson\pic_2215.jpg,6,homer_simpson
simpsons_dataset\sideshow_bob\pic_0696.jpg,14,sideshow_bob
simpsons_dataset\moe_szyslak\pic_0381.jpg,11,moe_szyslak
simpsons_dataset\krusty_the_clown\pic_0217.jpg,7,krusty_the_clown
simpsons_dataset\krusty_the_clown\pic_0652.jpg,7,krusty_the_clown
simpsons_dataset\comic_book_guy\pic_0002.jpg,5,comic_book_guy
simpsons_dataset\sideshow_bob\pic_0383.jpg,14,sideshow_bob
simpsons_dataset\lisa_simpson\pic_0452.jpg,8,lisa_simpson
simpsons_dataset\moe_szyslak\pic_0570.jpg,11,moe_szyslak
simpsons_dataset\lisa_simpson\pic_0810.jpg,8,lisa_simpson
simpsons_dataset\homer_simpson\pic_1664.jpg,6,homer_simpson
simpsons_dataset\sideshow_bob\pic_0574.jpg,14,sideshow_bob
simpsons_dataset\homer_simpson\pic_1132.jpg,6,homer_simpson
simpsons_dataset\apu_nahasapeemapetilon\pic_0621.jpg,1,apu_nahasapeemapetilon
simpsons_dataset\chief_wiggum\pic_0001.jpg,4,chief_wiggum
simpsons_dataset\lisa_simpson\pic_0051.jpg,8,lisa_simpson
simpsons_dataset\milhouse_van_houten\pic_0976.jpg,10,milhouse_van_houten
simpsons_dataset\homer_simpson\pic_1483.jpg,6,homer_simpson
simpsons_dataset\principal_skinner\pic_0275.jpg,13,principal_skinner
simpsons_dataset\milhouse_van_houten\pic_0962.jpg,10,milhouse_van_houten
simpsons_dataset\moe_szyslak\pic_0210.jpg,11,moe_szyslak
simpsons_dataset\charles_montgomery_burns\pic_1168.jpg,3,charles_montgomery_burns
simpsons_dataset\milhouse_van_houten\pic_0395.jpg,10,milhouse_van_houten
simpsons_dataset\charles_montgomery_burns\pic_1041.jpg,3,charles_montgomery_burns
simpsons_dataset\moe_szyslak\pic_0597.jpg,11,moe_szyslak
simpsons_dataset\homer_simpson\pic_1023.jpg,6,homer_simpson
simpsons_dataset\principal_skinner\pic_0150.jpg,13,principal_skinner
simpsons_dataset\ned_flanders\pic_0613.jpg,12,ned_flanders
simpsons_dataset\bart_simpson\pic_1108.jpg,2,bart_simpson
simpsons_dataset\moe_szyslak\pic_0228.jpg,11,moe_szyslak
simpsons_dataset\lisa_simpson\pic_0360.jpg,8,lisa_simpson
simpsons_dataset\krusty_the_clown\pic_0466.jpg,7,krusty_the_clown
simpsons_dataset\principal_skinner\pic_0484.jpg,13,principal_skinner
simpsons_dataset\bart_simpson\pic_0888.jpg,2,bart_simpson
simpsons_dataset\apu_nahasapeemapetilon\pic_0313.jpg,1,apu_nahasapeemapetilon
simpsons_dataset\bart_simpson\pic_1154.jpg,2,bart_simpson
simpsons_dataset\chief_wiggum\pic_0642.jpg,4,chief_wiggum
simpsons_dataset\chief_wiggum\pic_0714.jpg,4,chief_wiggum
simpsons_dataset\charles_montgomery_burns\pic_0853.jpg,3,charles_montgomery_burns
simpsons_dataset\ned_flanders\pic_0233.jpg,12,ned_flanders
simpsons_dataset\homer_simpson\pic_0830.jpg,6,homer_simpson
simpsons_dataset\moe_szyslak\pic_1082.jpg,11,moe_szyslak
simpsons_dataset\sideshow_bob\pic_0656.jpg,14,sideshow_bob
simpsons_dataset\abraham_grampa_simpson\pic_0671.jpg,0,abraham_grampa_simpson
simpsons_dataset\moe_szyslak\pic_0818.jpg,11,moe_szyslak
simpsons_dataset\charles_montgomery_burns\pic_1162.jpg,3,charles_montgomery_burns
simpsons_dataset\sideshow_bob\pic_0638.jpg,14,sideshow_bob
simpsons_dataset\milhouse_van_houten\pic_0964.jpg,10,milhouse_van_houten
simpsons_dataset\abraham_grampa_simpson\pic_0759.jpg,0,abraham_grampa_simpson
simpsons_dataset\charles_montgomery_burns\pic_1069.jpg,3,charles_montgomery_burns
simpsons_dataset\abraham_grampa_simpson\pic_0481.jpg,0,abraham_grampa_simpson
simpsons_dataset\comic_book_guy\pic_0156.jpg,5,comic_book_guy
simpsons_dataset\homer_simpson\pic_1771.jpg,6,homer_simpson
simpsons_dataset\ned_flanders\pic_0573.jpg,12,ned_flanders
simpsons_dataset\principal_skinner\pic_0928.jpg,13,principal_skinner
simpsons_dataset\abraham_grampa_simpson\pic_0798.jpg,0,abraham_grampa_simpson
simpsons_dataset\sideshow_bob\pic_0062.jpg,14,sideshow_bob
simpsons_dataset\ned_flanders\pic_1164.jpg,12,ned_flanders
simpsons_dataset\krusty_the_clown\pic_0540.jpg,7,krusty_the_clown
simpsons_dataset\moe_szyslak\pic_0099.jpg,11,moe_szyslak
simpsons_dataset\krusty_the_clown\pic_0959.jpg,7,krusty_the_clown
simpsons_dataset\charles_montgomery_burns\pic_0607.jpg,3,charles_montgomery_burns
simpsons_dataset\moe_szyslak\pic_0421.jpg,11,moe_szyslak
simpsons_dataset\apu_nahasapeemapetilon\pic_0089.jpg,1,apu_nahasapeemapetilon
simpsons_dataset\chief_wiggum\pic_0943.jpg,4,chief_wiggum
simpsons_dataset\sideshow_bob\pic_0362.jpg,14,sideshow_bob
simpsons_dataset\homer_simpson\pic_1079.jpg,6,homer_simpson
simpsons_dataset\bart_simpson\pic_1316.jpg,2,bart_simpson
simpsons_dataset\moe_szyslak\pic_1231.jpg,11,moe_szyslak
simpsons_dataset\lisa_simpson\pic_0657.jpg,8,lisa_simpson
simpsons_dataset\abraham_grampa_simpson\pic_0518.jpg,0,abraham_grampa_simpson
simpsons_dataset\marge_simpson\pic_0793.jpg,9,marge_simpson
simpsons_dataset\lisa_simpson\pic_0895.jpg,8,lisa_simpson
simpsons_dataset\homer_simpson\pic_1817.jpg,6,homer_simpson
simpsons_dataset\moe_szyslak\pic_1317.jpg,11,moe_szyslak
simpsons_dataset\homer_simpson\pic_0283.jpg,6,homer_simpson
simpsons_dataset\comic_book_guy\pic_0268.jpg,5,comic_book_guy
simpsons_dataset\chief_wiggum\pic_0403.jpg,4,chief_wiggum
simpsons_dataset\apu_nahasapeemapetilon\pic_0244.jpg,1,apu_nahasapeemapetilon
simpsons_dataset\sideshow_bob\pic_0387.jpg,14,sideshow_bob
simpsons_dataset\ned_flanders\pic_0289.jpg,12,ned_flanders
simpsons_dataset\sideshow_bob\pic_0532.jpg,14,sideshow_bob
simpsons_dataset\comic_book_guy\pic_0246.jpg,5,comic_book_guy
simpsons_dataset\chief_wiggum\pic_0417.jpg,4,chief_wiggum
simpsons_dataset\ned_flanders\pic_1211.jpg,12,ned_flanders
simpsons_dataset\abraham_grampa_simpson\pic_0603.jpg,0,abraham_grampa_simpson
simpsons_dataset\principal_skinner\pic_1053.jpg,13,principal_skinner
simpsons_dataset\lisa_simpson\pic_1243.jpg,8,lisa_simpson
simpsons_dataset\bart_simpson\pic_0937.jpg,2,bart_simpson
simpsons_dataset\chief_wiggum\pic_0329.jpg,4,chief_wiggum
simpsons_dataset\comic_book_guy\pic_0199.jpg,5,comic_book_guy
simpsons_dataset\bart_simpson\pic_0535.jpg,2,bart_simpson
simpsons_dataset\abraham_grampa_simpson\pic_0640.jpg,0,abraham_grampa_simpson
simpsons_dataset\principal_skinner\pic_0790.jpg,13,principal_skinner
simpsons_dataset\chief_wiggum\pic_0414.jpg,4,chief_wiggum
simpsons_dataset\sideshow_bob\pic_0795.jpg,14,sideshow_bob
simpsons_dataset\ned_flanders\pic_0175.jpg,12,ned_flanders
simpsons_dataset\chief_wiggum\pic_0101.jpg,4,chief_wiggum
simpsons_dataset\bart_simpson\pic_0844.jpg,2,bart_simpson
simpsons_dataset\moe_szyslak\pic_0310.jpg,11,moe_szyslak
simpsons_dataset\homer_simpson\pic_2147.jpg,6,homer_simpson
simpsons_dataset\charles_montgomery_burns\pic_0817.jpg,3,charles_montgomery_burns
simpsons_dataset\homer_simpson\pic_2220.jpg,6,homer_simpson
simpsons_dataset\chief_wiggum\pic_0263.jpg,4,chief_wiggum
simpsons_dataset\milhouse_van_houten\pic_0990.jpg,10,milhouse_van_houten
simpsons_dataset\milhouse_van_houten\pic_1044.jpg,10,milhouse_van_houten
simpsons_dataset\ned_flanders\pic_0800.jpg,12,ned_flanders
simpsons_dataset\abraham_grampa_simpson\pic_0487.jpg,0,abraham_grampa_simpson
simpsons_dataset\krusty_the_clown\pic_0374.jpg,7,krusty_the_clown
simpsons_dataset\charles_montgomery_burns\pic_0822.jpg,3,charles_montgomery_burns
simpsons_dataset\chief_wiggum\pic_0530.jpg,4,chief_wiggum
simpsons_dataset\lisa_simpson\pic_0926.jpg,8,lisa_simpson
simpsons_dataset\milhouse_van_houten\pic_0274.jpg,10,milhouse_van_houten
simpsons_dataset\abraham_grampa_simpson\pic_0121.jpg,0,abraham_grampa_simpson
simpsons_dataset\bart_simpson\pic_0281.jpg,2,bart_simpson
simpsons_dataset\moe_szyslak\pic_0306.jpg,11,moe_szyslak
simpsons_dataset\homer_simpson\pic_1749.jpg,6,homer_simpson
simpsons_dataset\bart_simpson\pic_0945.jpg,2,bart_simpson
simpsons_dataset\abraham_grampa_simpson\pic_0855.jpg,0,abraham_grampa_simpson
simpsons_dataset\homer_simpson\pic_2059.jpg,6,homer_simpson
simpsons_dataset\bart_simpson\pic_1149.jpg,2,bart_simpson
simpsons_dataset\bart_simpson\pic_1087.jpg,2,bart_simpson
simpsons_dataset\ned_flanders\pic_0819.jpg,12,ned_flanders
simpsons_dataset\moe_szyslak\pic_0753.jpg,11,moe_szyslak
simpsons_dataset\moe_szyslak\pic_1196.jpg,11,moe_szyslak
simpsons_dataset\principal_skinner\pic_0440.jpg,13,principal_skinner
simpsons_dataset\moe_szyslak\pic_1443.jpg,11,moe_szyslak
simpsons_dataset\homer_simpson\pic_0405.jpg,6,homer_simpson
simpsons_dataset\principal_skinner\pic_0826.jpg,13,principal_skinner
simpsons_dataset\lisa_simpson\pic_0194.jpg,8,lisa_simpson
simpsons_dataset\marge_simpson\pic_0171.jpg,9,marge_simpson
simpsons_dataset\ned_flanders\pic_1430.jpg,12,ned_flanders
simpsons_dataset\bart_simpson\pic_0487.jpg,2,bart_simpson
simpsons_dataset\sideshow_bob\pic_0867.jpg,14,sideshow_bob
simpsons_dataset\bart_simpson\pic_1058.jpg,2,bart_simpson
simpsons_dataset\homer_simpson\pic_1928.jpg,6,homer_simpson
simpsons_dataset\charles_montgomery_burns\pic_0516.jpg,3,charles_montgomery_burns
simpsons_dataset\homer_simpson\pic_0576.jpg,6,homer_simpson
simpsons_dataset\marge_simpson\pic_1051.jpg,9,marge_simpson
simpsons_dataset\homer_simpson\pic_1448.jpg,6,homer_simpson
simpsons_dataset\krusty_the_clown\pic_0666.jpg,7,krusty_the_clown
simpsons_dataset\sideshow_bob\pic_0699.jpg,14,sideshow_bob
simpsons_dataset\krusty_the_clown\pic_1072.jpg,7,krusty_the_clown
simpsons_dataset\marge_simpson\pic_0777.jpg,9,marge_simpson
simpsons_dataset\charles_montgomery_burns\pic_0773.jpg,3,charles_montgomery_burns
simpsons_dataset\ned_flanders\pic_0825.jpg,12,ned_flanders
simpsons_dataset\bart_simpson\pic_0565.jpg,2,bart_simpson
simpsons_dataset\ned_flanders\pic_0871.jpg,12,ned_flanders
simpsons_dataset\principal_skinner\pic_0994.jpg,13,principal_skinner
simpsons_dataset\homer_simpson\pic_1411.jpg,6,homer_simpson
simpsons_dataset\homer_simpson\pic_2084.jpg,6,homer_simpson
simpsons_dataset\ned_flanders\pic_0900.jpg,12,ned_flanders
simpsons_dataset\principal_skinner\pic_1177.jpg,13,principal_skinner
simpsons_dataset\chief_wiggum\pic_0246.jpg,4,chief_wiggum
simpsons_dataset\milhouse_van_houten\pic_0708.jpg,10,milhouse_van_houten
simpsons_dataset\homer_simpson\pic_0413.jpg,6,homer_simpson
simpsons_dataset\homer_simpson\pic_0765.jpg,6,homer_simpson
simpsons_dataset\chief_wiggum\pic_0158.jpg,4,chief_wiggum
simpsons_dataset\ned_flanders\pic_0014.jpg,12,ned_flanders
simpsons_dataset\moe_szyslak\pic_1109.jpg,11,moe_szyslak
simpsons_dataset\principal_skinner\pic_1163.jpg,13,principal_skinner
simpsons_dataset\milhouse_van_houten\pic_0672.jpg,10,milhouse_van_houten
simpsons_dataset\homer_simpson\pic_0815.jpg,6,homer_simpson
simpsons_dataset\abraham_grampa_simpson\pic_0809.jpg,0,abraham_grampa_simpson
simpsons_dataset\homer_simpson\pic_0207.jpg,6,homer_simpson
simpsons_dataset\krusty_the_clown\pic_0916.jpg,7,krusty_the_clown
simpsons_dataset\milhouse_van_houten\pic_0318.jpg,10,milhouse_van_houten
simpsons_dataset\lisa_simpson\pic_0797.jpg,8,lisa_simpson
simpsons_dataset\krusty_the_clown\pic_0036.jpg,7,krusty_the_clown
simpsons_dataset\lisa_simpson\pic_0529.jpg,8,lisa_simpson
simpsons_dataset\lisa_simpson\pic_1090.jpg,8,lisa_simpson
simpsons_dataset\krusty_the_clown\pic_0599.jpg,7,krusty_the_clown
simpsons_dataset\marge_simpson\pic_0751.jpg,9,marge_simpson
simpsons_dataset\ned_flanders\pic_0195.jpg,12,ned_flanders
simpsons_dataset\abraham_grampa_simpson\pic_0369.jpg,0,abraham_grampa_simpson
simpsons_dataset\moe_szyslak\pic_0866.jpg,11,moe_szyslak
simpsons_dataset\ned_flanders\pic_1134.jpg,12,ned_flanders
simpsons_dataset\homer_simpson\pic_0682.jpg,6,homer_simpson
simpsons_dataset\lisa_simpson\pic_1159.jpg,8,lisa_simpson
simpsons_dataset\homer_simpson\pic_2151.jpg,6,homer_simpson
simpsons_dataset\chief_wiggum\pic_0128.jpg,4,chief_wiggum
simpsons_dataset\sideshow_bob\pic_0355.jpg,14,sideshow_bob
simpsons_dataset\moe_szyslak\pic_0236.jpg,11,moe_szyslak
simpsons_dataset\milhouse_van_houten\pic_0029.jpg,10,milhouse_van_houten
simpsons_dataset\sideshow_bob\pic_0756.jpg,14,sideshow_bob
simpsons_dataset\ned_flanders\pic_0286.jpg,12,ned_flanders
simpsons_dataset\comic_book_guy\pic_0103.jpg,5,comic_book_guy
simpsons_dataset\ned_flanders\pic_0966.jpg,12,ned_flanders
simpsons_dataset\chief_wiggum\pic_0702.jpg,4,chief_wiggum
simpsons_dataset\sideshow_bob\pic_0397.jpg,14,sideshow_bob
simpsons_dataset\chief_wiggum\pic_0670.jpg,4,chief_wiggum
simpsons_dataset\homer_simpson\pic_1380.jpg,6,homer_simpson
simpsons_dataset\chief_wiggum\pic_0154.jpg,4,chief_wiggum
simpsons_dataset\charles_montgomery_burns\pic_0349.jpg,3,charles_montgomery_burns
simpsons_dataset\moe_szyslak\pic_1328.jpg,11,moe_szyslak
simpsons_dataset\principal_skinner\pic_0732.jpg,13,principal_skinner
simpsons_dataset\marge_simpson\pic_0677.jpg,9,marge_simpson
simpsons_dataset\lisa_simpson\pic_0905.jpg,8,lisa_simpson
simpsons_dataset\principal_skinner\pic_0467.jpg,13,principal_skinner
simpsons_dataset\ned_flanders\pic_0483.jpg,12,ned_flanders
simpsons_dataset\moe_szyslak\pic_0383.jpg,11,moe_szyslak
simpsons_dataset\charles_montgomery_burns\pic_0778.jpg,3,charles_montgomery_burns
simpsons_dataset\krusty_the_clown\pic_0753.jpg,7,krusty_the_clown
simpsons_dataset\marge_simpson\pic_0715.jpg,9,marge_simpson
simpsons_dataset\bart_simpson\pic_0161.jpg,2,bart_simpson
simpsons_dataset\krusty_the_clown\pic_0122.jpg,7,krusty_the_clown
simpsons_dataset\krusty_the_clown\pic_0633.jpg,7,krusty_the_clown
simpsons_dataset\ned_flanders\pic_0117.jpg,12,ned_flanders
simpsons_dataset\ned_flanders\pic_1179.jpg,12,ned_flanders
simpsons_dataset\homer_simpson\pic_2058.jpg,6,homer_simpson
simpsons_dataset\abraham_grampa_simpson\pic_0843.jpg,0,abraham_grampa_simpson
simpsons_dataset\abraham_grampa_simpson\pic_0335.jpg,0,abraham_grampa_simpson
simpsons_dataset\milhouse_van_houten\pic_0798.jpg,10,milhouse_van_houten
simpsons_dataset\homer_simpson\pic_2094.jpg,6,homer_simpson
simpsons_dataset\bart_simpson\pic_0352.jpg,2,bart_simpson
simpsons_dataset\milhouse_van_houten\pic_0866.jpg,10,milhouse_van_houten
simpsons_dataset\abraham_grampa_simpson\pic_0596.jpg,0,abraham_grampa_simpson
simpsons_dataset\marge_simpson\pic_1204.jpg,9,marge_simpson
simpsons_dataset\principal_skinner\pic_0529.jpg,13,principal_skinner
simpsons_dataset\charles_montgomery_burns\pic_0353.jpg,3,charles_montgomery_burns
simpsons_dataset\chief_wiggum\pic_0588.jpg,4,chief_wiggum
simpsons_dataset\comic_book_guy\pic_0416.jpg,5,comic_book_guy
simpsons_dataset\lisa_simpson\pic_1118.jpg,8,lisa_simpson
simpsons_dataset\marge_simpson\pic_0516.jpg,9,marge_simpson
simpsons_dataset\ned_flanders\pic_1059.jpg,12,ned_flanders
simpsons_dataset\moe_szyslak\pic_0188.jpg,11,moe_szyslak
simpsons_dataset\ned_flanders\pic_0393.jpg,12,ned_flanders
simpsons_dataset\lisa_simpson\pic_0409.jpg,8,lisa_simpson
simpsons_dataset\homer_simpson\pic_1083.jpg,6,homer_simpson
simpsons_dataset\milhouse_van_houten\pic_0352.jpg,10,milhouse_van_houten
simpsons_dataset\apu_nahasapeemapetilon\pic_0350.jpg,1,apu_nahasapeemapetilon
simpsons_dataset\bart_simpson\pic_1270.jpg,2,bart_simpson
simpsons_dataset\sideshow_bob\pic_0798.jpg,14,sideshow_bob
simpsons_dataset\bart_simpson\pic_0095.jpg,2,bart_simpson
simpsons_dataset\charles_montgomery_burns\pic_1024.jpg,3,charles_montgomery_burns
simpsons_dataset\principal_skinner\pic_0200.jpg,13,principal_skinner
simpsons_dataset\homer_simpson\pic_0108.jpg,6,homer_simpson
simpsons_dataset\lisa_simpson\pic_1169.jpg,8,lisa_simpson
